Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Average
88951,0.113835,0.115846,0.115846,0.120872,0.115176,0.117521,0.115846,0.115846,0.116516,0.117856,0.116516
88952,0.120202,0.114171,0.116851,0.112495,0.118191,0.116181,0.120202,0.116516,0.11216,0.116851,0.116382
88953,0.114841,0.115846,0.119867,0.11082,0.119531,0.115511,0.120537,0.116181,0.118191,0.116851,0.1168176
88954,0.116181,0.105793,0.117186,0.111825,0.117186,0.116181,0.119867,0.115846,0.115846,0.113835,0.1149746
88955,0.115176,0.116516,0.115846,0.118526,0.117186,0.114841,0.115511,0.115846,0.117856,0.117856,0.116516
88956,0.116181,0.116516,0.120872,0.115176,0.115511,0.115846,0.119867,0.113165,0.119196,0.115846,0.1168176
88957,0.115846,0.114171,0.116516,0.116181,0.117186,0.115176,0.120537,0.115511,0.113835,0.114841,0.11598
88958,0.11149,0.114841,0.118861,0.114506,0.116851,0.117521,0.115846,0.114506,0.114171,0.116851,0.1155444
88959,0.115176,0.115511,0.117186,0.118526,0.119196,0.118861,0.109814,0.115511,0.115511,0.117186,0.1162478
88960,0.119867,0.116181,0.116181,0.116181,0.115176,0.115846,0.117186,0.116181,0.116516,0.117856,0.1167171
88961,0.116181,0.116516,0.118526,0.116851,0.119196,0.116181,0.117186,0.111155,0.116516,0.119531,0.1167839
88962,0.118526,0.120872,0.115511,0.115846,0.115846,0.1135,0.116851,0.113835,0.116851,0.116851,0.1164489
88963,0.11283,0.113165,0.115846,0.116181,0.115511,0.112495,0.116181,0.119867,0.115511,0.120202,0.1157789
88964,0.117521,0.116851,0.116516,0.118526,0.116516,0.119196,0.116181,0.118861,0.117186,0.120537,0.1177891
88965,0.116516,0.119531,0.115846,0.119867,0.115511,0.116516,0.117186,0.116181,0.116181,0.116851,0.1170186
88966,0.108139,0.115846,0.116851,0.120537,0.115846,0.115846,0.118861,0.113835,0.120537,0.116851,0.1163149
88967,0.115176,0.116181,0.116181,0.116181,0.117521,0.115846,0.117856,0.114506,0.119867,0.116851,0.1166166
88968,0.116181,0.115846,0.113165,0.117856,0.120202,0.114841,0.111155,0.116181,0.117521,0.1135,0.1156448
88969,0.115846,0.115176,0.116516,0.115846,0.114841,0.118526,0.1135,0.113835,0.115176,0.11149,0.1150752
88970,0.115846,0.114171,0.116851,0.112495,0.115846,0.113165,0.119531,0.117186,0.115846,0.116851,0.1157788
88971,0.114506,0.116181,0.117521,0.114841,0.118191,0.116181,0.120537,0.115511,0.118861,0.110149,0.1162479
88972,0.115846,0.121207,0.116516,0.115846,0.115511,0.115176,0.119531,0.115176,0.118861,0.116181,0.1169851
88973,0.118861,0.113835,0.115846,0.115846,0.116516,0.113165,0.117856,0.116181,0.119531,0.116516,0.1164153
88974,0.117521,0.116516,0.117856,0.116181,0.120872,0.116516,0.117186,0.116181,0.118526,0.115511,0.1172866
88975,0.115846,0.11216,0.11283,0.116516,0.119867,0.109814,0.119867,0.116181,0.120872,0.114171,0.1158124
88976,0.116516,0.116181,0.117521,0.116516,0.115176,0.115176,0.115511,0.114171,0.116851,0.115846,0.1159465
88977,0.120872,0.116851,0.116851,0.116181,0.121207,0.115846,0.113835,0.115176,0.115846,0.116181,0.1168846
88978,0.116516,0.117521,0.115511,0.117521,0.112495,0.120202,0.115846,0.113165,0.116851,0.120202,0.116583
88979,0.115846,0.115846,0.114171,0.116516,0.113835,0.116516,0.118526,0.116516,0.115846,0.118861,0.1162479
88980,0.11283,0.118191,0.116181,0.119196,0.108474,0.115176,0.116516,0.116516,0.116181,0.114841,0.1154102
88981,0.116851,0.119531,0.112495,0.11082,0.114171,0.115846,0.117186,0.116851,0.116516,0.117186,0.1157453
88982,0.116181,0.115846,0.116851,0.117186,0.115176,0.116516,0.115511,0.117521,0.113165,0.101436,0.1145389
88983,0.116181,0.115846,0.120872,0.117186,0.118526,0.114841,0.117856,0.1135,0.114841,0.116181,0.116583
88984,0.106463,0.116851,0.116516,0.115511,0.114841,0.119196,0.116516,0.118526,0.102107,0.115846,0.1142373
